timestamp,device,severity,message,label
2025-12-09 15:34:25,FW2,1,OSPF: Neighbor adjacency established,0
2025-12-08 22:38:03,SW2,6,PORT-SECURITY: 1 MAC address learned,0
2025-12-09 22:32:07,SW2,0,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-08 19:43:12,FW2,2,PORT-SECURITY: 1 MAC address learned,0
2025-12-07 17:29:33,SW3,1,DHCP: New lease granted,0
2025-12-10 15:33:03,R2,1,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-09 10:49:52,R1,5,STP: Topology change detected,0
2025-12-09 15:36:30,R2,4,PORT-SECURITY: 1 MAC address learned,0
2025-12-10 03:57:40,SW2,6,OSPF: Neighbor adjacency established,0
2025-12-08 13:39:41,SW1,5,PORT-SCAN: Multiple SYN packets detected,1
2025-12-07 14:14:58,SW3,0,DHCP: New lease granted,0
2025-12-09 03:05:11,R2,6,SYSLOG: System running normally,0
2025-12-07 15:11:56,SW3,4,DHCP: New lease granted,0
2025-12-08 05:27:14,R2,6,SYSLOG: System running normally,0
2025-12-09 08:26:11,SW2,0,SYSLOG: System running normally,0
2025-12-08 19:30:37,SW1,0,NTP: Time synchronized,0
2025-12-07 10:07:51,R2,0,NTP: Time synchronized,0
2025-12-09 16:47:28,SW1,5,MALWARE: Suspicious binary executed,1
2025-12-09 19:01:39,SW1,1,DDOS DETECTED: Abnormal traffic spike,1
2025-12-09 13:40:03,SW1,1,SYSLOG: System running normally,0
2025-12-07 19:21:56,SW1,4,DATA-LEAK: Unexpected outbound transfer,1
2025-12-09 08:54:08,FW1,3,PORT-SECURITY: 1 MAC address learned,0
2025-12-09 15:41:22,SW1,4,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-07 11:44:20,SW3,5,STP: Topology change detected,0
2025-12-10 14:10:00,R3,1,STP: Topology change detected,0
2025-12-10 15:36:49,R3,0,NTP: Time synchronized,0
2025-12-10 03:14:29,FW2,6,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-10 17:58:24,SW1,1,OSPF: Neighbor adjacency established,0
2025-12-10 09:11:59,FW1,3,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-09 22:42:26,SW2,2,PORT-SECURITY: 1 MAC address learned,0
2025-12-10 14:27:45,FW1,7,PORT-SECURITY: 1 MAC address learned,0
2025-12-08 01:57:48,R2,0,PORT-SECURITY: 1 MAC address learned,0
2025-12-07 20:59:16,R3,0,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-08 13:41:54,R1,7,STP: Topology change detected,0
2025-12-09 01:52:58,R3,6,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-07 17:35:40,FW1,5,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-10 02:29:05,FW2,6,NTP: Time synchronized,0
2025-12-09 15:25:26,SW3,3,NTP: Time synchronized,0
2025-12-08 11:15:34,R3,3,AUTH-FAIL: Multiple invalid SSH attempts,1
2025-12-09 03:25:08,FW1,1,PORT-SECURITY: 1 MAC address learned,0
2025-12-08 17:32:18,SW3,2,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-09 01:22:21,SW1,1,NTP: Time synchronized,0
2025-12-07 16:47:47,FW1,7,STP: Topology change detected,0
2025-12-07 20:19:59,FW2,2,OSPF: Neighbor adjacency established,0
2025-12-10 14:21:41,R2,2,DHCP: New lease granted,0
2025-12-09 06:27:19,R1,2,BGP: New peer session established,0
2025-12-10 13:06:55,SW2,4,STP: Topology change detected,0
2025-12-07 22:04:00,R1,3,CONFIG ERROR: Unexpected configuration rollback,1
2025-12-08 01:43:16,SW1,0,OSPF: Neighbor adjacency established,0
2025-12-10 05:44:07,SW2,6,PORT-SCAN: Multiple SYN packets detected,1
2025-12-10 07:09:58,SW1,4,STP: Topology change detected,0
2025-12-09 05:28:23,SW2,0,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-09 21:20:08,R3,5,DHCP: New lease granted,0
2025-12-07 09:41:42,R3,2,CPU HIGH: 98% utilization for 300 seconds,1
2025-12-10 02:53:13,FW1,7,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-08 06:06:11,FW1,5,STP: Topology change detected,0
2025-12-09 12:21:24,SW2,7,DDOS DETECTED: Abnormal traffic spike,1
2025-12-09 21:24:55,FW1,6,OSPF: Neighbor adjacency established,0
2025-12-09 05:23:00,SW2,1,STP: Topology change detected,0
2025-12-10 02:37:07,R1,0,SYSLOG: System running normally,0
2025-12-10 04:13:21,FW1,5,PORT-SECURITY: 1 MAC address learned,0
2025-12-07 12:30:14,SW3,5,PORT-SECURITY: 1 MAC address learned,0
2025-12-09 08:52:57,SW1,3,STP: Topology change detected,0
2025-12-10 15:21:21,SW2,1,STP: Topology change detected,0
2025-12-07 19:51:11,SW2,0,STP: Topology change detected,0
2025-12-08 16:32:41,SW2,0,NTP: Time synchronized,0
2025-12-10 07:05:16,R3,4,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-09 23:15:26,R3,4,DHCP: New lease granted,0
2025-12-09 16:20:54,R1,3,OSPF: Neighbor adjacency established,0
2025-12-10 14:11:37,SW1,0,CONFIG ERROR: Unexpected configuration rollback,1
2025-12-09 01:51:24,SW2,4,NTP: Time synchronized,0
2025-12-10 14:40:33,SW1,6,STP: Topology change detected,0
2025-12-10 18:14:32,SW3,2,SYSLOG: System running normally,0
2025-12-10 01:22:04,R1,2,BGP: New peer session established,0
2025-12-09 09:24:28,FW2,2,STP: Topology change detected,0
2025-12-09 09:44:34,FW1,6,CONFIG ERROR: Unexpected configuration rollback,1
2025-12-10 12:47:23,SW2,3,DHCP: New lease granted,0
2025-12-08 18:01:53,FW2,0,STP: Topology change detected,0
2025-12-08 19:44:58,FW1,2,BGP: New peer session established,0
2025-12-10 09:06:05,R2,4,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-09 15:48:11,SW1,3,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-09 14:23:20,SW1,0,BGP: New peer session established,0
2025-12-09 08:11:30,SW3,0,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-10 10:09:11,FW2,3,DHCP: New lease granted,0
2025-12-08 16:12:25,SW1,3,CPU HIGH: 98% utilization for 300 seconds,1
2025-12-08 00:46:02,SW3,3,STP: Topology change detected,0
2025-12-09 03:37:26,FW2,1,DHCP: New lease granted,0
2025-12-07 23:08:22,SW1,5,OSPF: Neighbor adjacency established,0
2025-12-07 21:12:55,SW1,7,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-10 15:08:23,R2,4,CPU HIGH: 98% utilization for 300 seconds,1
2025-12-07 12:46:02,SW3,6,SYSLOG: System running normally,0
2025-12-09 09:19:10,FW2,7,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-10 12:12:35,SW2,1,BGP: New peer session established,0
2025-12-10 08:37:22,FW2,6,NTP: Time synchronized,0
2025-12-07 14:27:12,SW3,5,PORT-SCAN: Multiple SYN packets detected,1
2025-12-08 10:01:38,R1,5,STP: Topology change detected,0
2025-12-08 20:14:45,R2,7,LINK-UP: Interface GigabitEthernet0/1 is up,0
2025-12-08 23:04:32,R2,5,LINK-DOWN: Interface GigabitEthernet0/2 is down,0
2025-12-09 08:19:32,FW2,5,PORT-SECURITY: 1 MAC address learned,0
