timestamp,device,severity,message,label,clean_message,prediction,confidence
2026-01-02 05:46:33,R2,6,PORT-SCAN: Multiple SYN packets detected,1,port-scan: multiple syn packets detected,1,1.0
2026-01-02 17:43:52,R2,4,SYSLOG: System running normally,0,syslog: system running normally,0,2.3261875e-15
2025-12-31 05:57:34,FW1,6,DHCP: New lease granted,0,dhcp: new lease granted,0,1.7426089e-08
2026-01-02 01:35:03,SW2,3,DHCP: New lease granted,0,dhcp: new lease granted,0,1.1318931e-08
2026-01-02 21:20:08,SW3,0,DATA-LEAK: Unexpected outbound transfer,1,data-leak: unexpected outbound transfer,1,1.0
2026-01-02 11:33:46,R1,3,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999993
2026-01-01 22:02:58,SW3,6,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.172803e-08
2026-01-01 07:38:37,R3,1,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,5.6848054e-11
2026-01-01 00:27:09,R1,5,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,9.869697e-06
2026-01-03 00:28:47,SW3,6,DHCP: New lease granted,0,dhcp: new lease granted,0,1.7426089e-08
2026-01-01 01:34:38,SW2,4,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,1.0533439e-05
2026-01-03 10:10:11,FW1,0,DHCP: New lease granted,0,dhcp: new lease granted,0,5.5025664e-09
2026-01-02 00:53:38,SW1,5,DDOS DETECTED: Abnormal traffic spike,1,ddos detected: abnormal traffic spike,0,2.3923076e-05
2026-01-02 19:24:01,R3,3,DHCP: New lease granted,0,dhcp: new lease granted,0,1.1318931e-08
2026-01-01 12:05:41,R1,3,CONFIG ERROR: Unexpected configuration rollback,1,config error: unexpected configuration rollback,1,0.99999964
2026-01-01 02:35:52,FW1,3,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,6.6719054e-11
2026-01-02 05:58:14,SW2,1,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,4.6398096e-08
2026-01-01 04:28:33,FW2,0,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.0196382e-05
2025-12-31 12:57:17,FW1,5,SECURITY ALERT: Possible intrusion detected,1,security alert: possible intrusion detected,1,0.9999999
2025-12-31 05:05:45,SW1,3,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,6.952915e-08
2026-01-03 02:19:44,SW1,2,CONFIG ERROR: Unexpected configuration rollback,1,config error: unexpected configuration rollback,1,0.99999964
2026-01-03 12:35:36,FW1,2,DDOS DETECTED: Abnormal traffic spike,1,ddos detected: abnormal traffic spike,0,2.591867e-05
2026-01-01 04:59:06,R3,1,MALWARE: Suspicious binary executed,1,malware: suspicious binary executed,1,1.0
2026-01-01 05:47:51,R2,0,SYSLOG: System running normally,0,syslog: system running normally,0,8.743409e-16
2025-12-31 06:02:30,FW2,4,BGP: New peer session established,0,bgp: new peer session established,0,0.0032485658
2026-01-03 05:42:55,FW1,3,DATA-LEAK: Unexpected outbound transfer,1,data-leak: unexpected outbound transfer,1,1.0
2026-01-01 05:49:43,R2,5,CONFIG ERROR: Unexpected configuration rollback,1,config error: unexpected configuration rollback,1,0.99999905
2025-12-31 08:25:09,FW1,7,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.3531678e-05
2026-01-03 02:34:35,SW2,6,MALWARE: Suspicious binary executed,1,malware: suspicious binary executed,1,1.0
2026-01-01 19:53:49,R1,1,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,5.6848054e-11
2026-01-03 07:25:08,FW1,6,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.172803e-08
2026-01-02 03:58:14,SW1,2,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.5996156e-05
2026-01-02 14:48:22,R2,3,BGP: New peer session established,0,bgp: new peer session established,0,0.003580665
2026-01-03 03:27:39,SW1,7,CONFIG ERROR: Unexpected configuration rollback,1,config error: unexpected configuration rollback,1,0.99999726
2025-12-31 14:14:48,SW2,7,DDOS DETECTED: Abnormal traffic spike,1,ddos detected: abnormal traffic spike,0,2.2987122e-05
2025-12-31 07:11:42,SW3,1,AUTH-FAIL: Multiple invalid SSH attempts,1,auth-fail: multiple invalid ssh attempts,1,1.0
2026-01-02 03:09:22,R2,1,SECURITY ALERT: Possible intrusion detected,1,security alert: possible intrusion detected,1,0.9999999
2026-01-02 18:51:25,FW1,3,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,1.0676402e-05
2026-01-02 07:53:28,R3,2,CPU HIGH: 98% utilization for 300 seconds,1,cpu high: 98 utilization for 300 seconds,1,0.9999794
2026-01-01 06:01:52,SW3,4,BGP: New peer session established,0,bgp: new peer session established,0,0.0032485658
2026-01-02 06:21:37,R3,1,BGP: New peer session established,0,bgp: new peer session established,0,0.0031274534
2026-01-01 04:17:04,SW1,4,MALWARE: Suspicious binary executed,1,malware: suspicious binary executed,1,1.0
2026-01-03 06:39:30,SW1,3,DHCP: New lease granted,0,dhcp: new lease granted,0,1.1318931e-08
2025-12-31 05:58:57,R2,4,DHCP: New lease granted,0,dhcp: new lease granted,0,1.33299665e-08
2026-01-02 11:27:32,SW3,2,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,9.89037e-06
2025-12-31 13:43:24,SW2,1,DHCP: New lease granted,0,dhcp: new lease granted,0,7.3749566e-09
2025-12-31 14:17:53,R3,5,DHCP: New lease granted,0,dhcp: new lease granted,0,1.5468311e-08
2026-01-02 09:35:39,SW1,5,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.5269678e-05
2026-01-03 03:07:03,R3,5,SYSLOG: System running normally,0,syslog: system running normally,0,2.071655e-15
2026-01-02 21:59:36,R1,6,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.4157313e-05
2026-01-02 12:42:11,R3,5,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.1337276e-08
2026-01-03 11:17:59,R1,0,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999993
2025-12-31 22:23:16,R1,3,BGP: New peer session established,0,bgp: new peer session established,0,0.003580665
2025-12-31 23:02:47,SW3,0,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.0196382e-05
2026-01-01 11:59:47,R3,4,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,1.0533439e-05
2025-12-31 13:13:18,SW3,2,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,9.89037e-06
2026-01-02 21:16:23,FW2,2,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999994
2025-12-31 10:08:44,SW3,2,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,9.89037e-06
2026-01-01 10:51:50,SW3,1,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999994
2025-12-31 10:42:00,R3,7,DATA-LEAK: Unexpected outbound transfer,1,data-leak: unexpected outbound transfer,1,1.0
2026-01-01 08:56:26,SW3,3,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,1.0676402e-05
2026-01-02 23:28:30,SW1,1,AUTH-FAIL: Multiple invalid SSH attempts,1,auth-fail: multiple invalid ssh attempts,1,1.0
2025-12-31 06:23:05,SW1,1,DATA-LEAK: Unexpected outbound transfer,1,data-leak: unexpected outbound transfer,1,1.0
2026-01-01 12:56:58,FW2,5,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,9.869697e-06
2026-01-02 02:19:17,SW3,5,DHCP: New lease granted,0,dhcp: new lease granted,0,1.5468311e-08
2026-01-03 01:36:34,SW1,1,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,4.6398096e-08
2026-01-01 02:36:43,R1,1,DHCP: New lease granted,0,dhcp: new lease granted,0,7.3749566e-09
2026-01-03 00:03:43,SW1,7,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999949
2026-01-02 16:57:47,SW1,4,BGP: New peer session established,0,bgp: new peer session established,0,0.0032485658
2026-01-02 08:41:04,FW2,7,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999949
2026-01-03 01:08:35,R2,4,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,5.145265e-11
2026-01-01 19:57:01,SW1,5,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.1337276e-08
2025-12-31 23:15:11,FW1,6,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,2.4560163e-11
2026-01-02 09:59:36,SW2,2,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999994
2026-01-02 02:00:32,R1,0,SYSLOG: System running normally,0,syslog: system running normally,0,8.743409e-16
2026-01-01 23:40:40,FW2,0,DATA-LEAK: Unexpected outbound transfer,1,data-leak: unexpected outbound transfer,1,1.0
2026-01-03 08:03:56,R3,7,AUTH-FAIL: Multiple invalid SSH attempts,1,auth-fail: multiple invalid ssh attempts,1,1.0
2026-01-01 04:21:04,R3,0,DHCP: New lease granted,0,dhcp: new lease granted,0,5.5025664e-09
2026-01-02 09:16:59,R3,0,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,4.2999486e-11
2026-01-03 03:40:09,FW1,2,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,6.304673e-08
2026-01-02 07:48:00,R1,0,SYSLOG: System running normally,0,syslog: system running normally,0,8.743409e-16
2025-12-31 20:54:55,R3,0,STP: Topology change detected,0,stp: topology change detected,0,0.015420961
2026-01-03 00:01:20,R1,2,SECURITY ALERT: Possible intrusion detected,1,security alert: possible intrusion detected,1,1.0
2026-01-02 18:24:18,R2,6,BGP: New peer session established,0,bgp: new peer session established,0,0.0024131667
2026-01-03 05:56:45,R3,4,CONFIG ERROR: Unexpected configuration rollback,1,config error: unexpected configuration rollback,1,0.9999994
2026-01-01 15:05:32,R1,0,DATA-LEAK: Unexpected outbound transfer,1,data-leak: unexpected outbound transfer,1,1.0
2026-01-03 05:25:23,SW3,6,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.4157313e-05
2026-01-02 19:32:22,SW1,4,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,1.0533439e-05
2026-01-03 11:44:57,SW2,5,SYSLOG: System running normally,0,syslog: system running normally,0,2.071655e-15
2026-01-01 09:36:09,SW1,5,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.5269678e-05
2025-12-31 04:46:00,R2,3,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.610726e-05
2026-01-01 21:59:11,R3,4,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.239754e-08
2026-01-02 03:58:13,SW2,4,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.239754e-08
2026-01-03 03:02:00,R2,4,BGP: New peer session established,0,bgp: new peer session established,0,0.0032485658
2025-12-31 13:50:49,R3,6,SECURITY ALERT: Possible intrusion detected,1,security alert: possible intrusion detected,1,0.9999999
2026-01-01 09:29:57,R2,0,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,6.024026e-06
2026-01-01 08:34:36,SW3,4,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.239754e-08
2026-01-01 04:30:42,SW3,7,DDOS DETECTED: Abnormal traffic spike,1,ddos detected: abnormal traffic spike,0,2.2987122e-05
2026-01-03 08:25:45,SW3,5,DDOS DETECTED: Abnormal traffic spike,1,ddos detected: abnormal traffic spike,0,2.3923076e-05
2026-01-02 14:30:00,FW1,1,NTP: Time synchronized,0,ntp: time synchronized,1,0.9999994
2025-12-31 09:15:22,SW3,3,BGP: New peer session established,0,bgp: new peer session established,0,0.003580665
2026-01-02 08:51:02,R1,3,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.610726e-05
2025-12-31 10:27:14,SW2,0,LINK-DOWN: Interface GigabitEthernet0/2 is down,0,link-down: interface gigabitethernet0 2 is down,0,6.024026e-06
2026-01-01 05:18:00,R2,1,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.3320076e-05
2026-01-01 03:46:57,SW1,7,OSPF: Neighbor adjacency established,0,ospf: neighbor adjacency established,0,7.7892715e-08
2026-01-02 12:01:57,SW3,5,PORT-SECURITY: 1 MAC address learned,0,port-security: 1 mac address learned,0,3.7421784e-11
2026-01-02 10:19:57,FW2,4,LINK-UP: Interface GigabitEthernet0/1 is up,0,link-up: interface gigabitethernet0 1 is up,0,1.5372965e-05
